Time,PowerTLTMmax[dBm]_baseline,PowerTLTMmin[dBm]_baseline,PowerRLTMmax[dBm]_baseline,PowerRLTMmin[dBm]_baseline
2015-01-03 17:30:00,0.0,0.0,0.3,0.0
2015-01-03 17:30:00,0.0,0.0,2.8,2.5
2015-01-03 17:45:00,0.0,0.0,0.0,0.0
2015-01-03 17:45:00,0.0,0.0,2.8,2.5
2015-01-03 18:00:00,0.0,0.0,0.0,0.0
2015-01-03 18:00:00,0.0,0.0,0.3,0.0
2015-01-03 18:15:00,0.0,0.0,2.8,3.1
2015-01-03 18:15:00,0.0,0.0,3.2,3.1
2015-01-03 18:30:00,0.0,0.0,0.3,0.3
2015-01-03 18:30:00,0.0,0.0,2.8,3.1
2015-01-03 18:45:00,0.0,0.0,0.0,0.3
2015-01-03 18:45:00,0.0,0.0,2.8,2.8
2015-01-03 19:00:00,0.0,0.0,0.0,0.0
2015-01-03 19:00:00,0.0,0.0,2.8,2.8
2015-01-03 19:15:00,0.0,0.0,0.0,0.0
2015-01-03 19:15:00,0.0,0.0,2.8,2.8
2015-01-03 19:30:00,0.0,0.0,0.6,0.6
2015-01-03 19:30:00,0.0,0.0,3.8,4.0
2015-01-03 19:45:00,0.0,0.0,0.9,0.9
2015-01-03 19:45:00,0.0,0.0,1.3,1.2
2015-01-03 20:00:00,0.0,0.0,3.8,4.0
2015-01-03 20:00:00,0.0,0.0,1.3,0.9
2015-01-03 20:15:00,0.0,0.0,0.0,0.0
2015-01-03 20:15:00,0.0,0.0,1.3,0.9
2015-01-03 20:30:00,0.0,0.0,0.0,0.3
2015-01-03 20:30:00,0.0,0.0,1.6,0.9
2015-01-03 20:45:00,0.0,0.0,0.0,0.3
2015-01-03 20:45:00,0.0,0.0,1.6,1.2
2015-01-08 14:45:00,0.0,0.0,0.0,0.3
2015-01-08 14:45:00,0.0,0.0,1.6,0.9
2015-01-08 15:00:00,0.0,0.0,0.0,0.0
2015-01-08 15:00:00,0.0,0.0,1.6,0.6
2015-01-08 15:15:00,0.0,0.0,0.0,0.0
2015-01-08 15:15:00,0.0,0.0,0.0,0.0
2015-01-08 15:30:00,0.0,0.0,1.6,0.9
2015-01-08 15:30:00,0.0,0.0,2.2,0.6
2015-01-08 15:45:00,0.0,0.0,0.3,0.0
2015-01-08 15:45:00,0.0,0.0,1.9,1.2
2015-01-08 16:00:00,0.0,0.0,0.0,0.0
2015-01-08 16:00:00,0.0,0.0,1.9,1.2
2015-01-08 16:15:00,0.0,0.0,0.0,0.0
2015-01-08 16:15:00,0.0,0.0,2.2,1.2
2015-01-08 16:30:00,0,0,0,0
2015-01-08 16:30:00,0,0,0,0
2015-01-08 16:45:00,0,0,0,0
2015-01-08 16:45:00,0,0,0,0
2015-01-08 17:00:00,0,0,0,0
2015-01-08 17:00:00,0,0,0,0
2015-01-08 17:15:00,0,0,0,0
2015-01-08 17:15:00,0,0,0,0
2015-01-08 17:30:00,0,0,0,0
2015-01-08 17:30:00,0,0,0,0
2015-01-08 17:45:00,0,0,0,0
2015-01-08 17:45:00,0,0,0,0
2015-01-08 18:00:00,0,0,0,0
2015-01-08 18:00:00,0,0,0,0
