Time,RainAmout[mm/h]
2015-01-19 05:20:00,0.0
2015-01-19 05:30:00,0.0
2015-01-19 05:40:00,0.0
2015-01-19 05:50:00,0.0
2015-01-19 06:00:00,0.0
2015-01-19 06:10:00,0.0
2015-01-19 06:20:00,0.0
2015-01-19 06:30:00,0.0
2015-01-19 06:40:00,0.0
2015-01-19 06:50:00,0.0
2015-01-19 07:00:00,0.0
2015-01-19 07:10:00,0.0
2015-01-19 07:20:00,0.0
2015-01-19 07:30:00,0.0
2015-01-19 07:40:00,0.0
2015-01-19 07:50:00,0.0
2015-01-19 08:00:00,0.0
2015-01-19 08:10:00,0.0
2015-01-19 08:20:00,0.0
2015-01-19 08:30:00,0.0
2015-01-19 08:40:00,0.0
2015-01-19 08:50:00,0.0
2015-01-19 09:00:00,0.0
2015-01-19 09:10:00,0.0
2015-01-19 09:20:00,0.0
2015-01-19 09:30:00,0.0
2015-01-19 09:40:00,0.0
2015-01-19 09:50:00,0.0
2015-01-19 10:00:00,0.0
2015-01-19 10:10:00,0.0
2015-01-19 10:20:00,0.0
2015-01-19 10:30:00,0.0
2015-01-19 10:40:00,0.0
2015-01-19 10:50:00,0.0
2015-01-19 11:00:00,0.0
2015-01-19 11:10:00,0.0
2015-01-19 11:20:00,0.0
2015-01-19 11:30:00,0.0
2015-01-19 11:40:00,0.0
2015-01-19 11:50:00,0.0
2015-01-19 12:00:00,0.0
2015-01-19 12:10:00,0.0
2015-01-19 12:20:00,0.0
2015-01-19 12:30:00,0.0
2015-01-19 12:40:00,0.0
2015-01-19 12:50:00,0.0
2015-01-19 13:00:00,0.0
2015-01-19 13:10:00,0.0
2015-01-19 13:20:00,0.0
2015-01-19 13:30:00,0.0
2015-01-19 13:40:00,0.0
2015-01-19 13:50:00,0.0
2015-01-19 14:00:00,0.0
2015-01-19 14:10:00,0.0
2015-01-19 14:20:00,0.0
2015-01-19 14:30:00,0.0
2015-01-19 14:40:00,0.0
2015-01-19 14:50:00,0.0
2015-01-19 15:00:00,0.0
2015-01-19 15:10:00,0.0
2015-01-19 15:20:00,0.0
2015-01-19 15:30:00,0.0
2015-01-19 15:40:00,0.0
2015-01-19 15:50:00,0.0
